Running experiment synthetic
Pretraining model on donor units
Iteration:0	Loss_mean:0.6706554889678955	Loss_std:0.0
Iteration:100	Loss_mean:0.9533125769346953	Loss_std:0.4981428407903225
Iteration:200	Loss_mean:0.8584658433496952	Loss_std:0.47940500186157825
Iteration:300	Loss_mean:0.5601058798283338	Loss_std:0.3854285096104287
Iteration:400	Loss_mean:0.312710582613945	Loss_std:0.2334462344751158
Iteration:500	Loss_mean:0.18459085997194052	Loss_std:0.1378929631873482
Iteration:600	Loss_mean:0.15653976226225497	Loss_std:0.13125940041773637
Iteration:700	Loss_mean:0.1227069322951138	Loss_std:0.07539235972729574
Iteration:800	Loss_mean:0.10935611605644226	Loss_std:0.08109206680842093
Iteration:900	Loss_mean:0.11519988344982267	Loss_std:0.100222839982747
Iteration:1000	Loss_mean:0.10726006222888827	Loss_std:0.08567986813365186
Iteration:1100	Loss_mean:0.08495859073475004	Loss_std:0.0804642923788899
Iteration:1200	Loss_mean:0.06366800359450281	Loss_std:0.04592988320771855
Iteration:1300	Loss_mean:0.055871979063376785	Loss_std:0.04145052658287242
Iteration:1400	Loss_mean:0.04734698005020618	Loss_std:0.034498387442139636
Iteration:1500	Loss_mean:0.03792510882019997	Loss_std:0.025622092512709572
Iteration:1600	Loss_mean:0.0365411952836439	Loss_std:0.03381858478436319
Iteration:1700	Loss_mean:0.029304728605784477	Loss_std:0.025596670172134846
Iteration:1800	Loss_mean:0.024515482187271117	Loss_std:0.017819451180639323
Iteration:1900	Loss_mean:0.024021291225217282	Loss_std:0.01893153225755873
Iteration:2000	Loss_mean:0.01828315542079508	Loss_std:0.012936788562832587
Iteration:2100	Loss_mean:0.020333952135406435	Loss_std:0.014116641624317213
Iteration:2200	Loss_mean:0.019402536465786397	Loss_std:0.019426779921158637
Iteration:2300	Loss_mean:0.01975920230150223	Loss_std:0.016719080495822266
Iteration:2400	Loss_mean:0.019505756080616266	Loss_std:0.02026005707680444
Iteration:2500	Loss_mean:0.020842546813655646	Loss_std:0.01742725959072027
Iteration:2600	Loss_mean:0.02201258761342615	Loss_std:0.018922499530943774
Iteration:2700	Loss_mean:0.014199643816100433	Loss_std:0.013777208535624221
Iteration:2800	Loss_mean:0.0180236253188923	Loss_std:0.01702970051552228
Iteration:2900	Loss_mean:0.015703816800378263	Loss_std:0.012314971936290565
Iteration:3000	Loss_mean:0.01755905120167881	Loss_std:0.016458000547304844
Iteration:3100	Loss_mean:0.017898979224264623	Loss_std:0.015005102548864415
Iteration:3200	Loss_mean:0.018366761249490084	Loss_std:0.01811846953598152
Iteration:3300	Loss_mean:0.018911640075966716	Loss_std:0.014956454311548725
