Pretraining model on donor units
Iteration:0	Loss_mean:0.26965704560279846	Loss_std:0.0
Iteration:100	Loss_mean:0.24989523114636542	Loss_std:0.19935166177765512
Iteration:200	Loss_mean:0.2565182058978826	Loss_std:0.251146605644399
Iteration:300	Loss_mean:0.2597279416397214	Loss_std:0.26589522035552676
Iteration:400	Loss_mean:0.2246940681524575	Loss_std:0.19205042033548225
Iteration:500	Loss_mean:0.22813218515366315	Loss_std:0.24585999067202258
Iteration:600	Loss_mean:0.17881711250171065	Loss_std:0.16895612648367023
Iteration:700	Loss_mean:0.17024096900597216	Loss_std:0.17000003073189746
Iteration:800	Loss_mean:0.11550612672232091	Loss_std:0.09091172455360551
Iteration:900	Loss_mean:0.11732232117094099	Loss_std:0.11023867956005964
Iteration:1000	Loss_mean:0.09077760792337358	Loss_std:0.07997575091877644
Iteration:1100	Loss_mean:0.05365714703686535	Loss_std:0.04194570381829976
Iteration:1200	Loss_mean:0.05785467829089612	Loss_std:0.050015348072923654
Iteration:1300	Loss_mean:0.036644122144207356	Loss_std:0.03911283293944214
Iteration:1400	Loss_mean:0.035435809763148425	Loss_std:0.030929876459178142
Iteration:1500	Loss_mean:0.029862802186980845	Loss_std:0.031107091208601844
Iteration:1600	Loss_mean:0.033439182798028926	Loss_std:0.03426270757016125
Iteration:1700	Loss_mean:0.025291160180349836	Loss_std:0.024312767393847013
Iteration:1800	Loss_mean:0.022747379404027015	Loss_std:0.022368548373913433
Iteration:1900	Loss_mean:0.01931015812268015	Loss_std:0.02289980978451849
Iteration:2000	Loss_mean:0.021666013231733814	Loss_std:0.025326779387638478
Iteration:2100	Loss_mean:0.02099982923595235	Loss_std:0.022920301543775713
Iteration:2200	Loss_mean:0.020926262722932732	Loss_std:0.02459317174653643
Iteration:2300	Loss_mean:0.019283171363640578	Loss_std:0.024423884182888683
Iteration:2400	Loss_mean:0.01511369870393537	Loss_std:0.01648009480734806
Iteration:2500	Loss_mean:0.01496318240533583	Loss_std:0.019966483185683042
Iteration:2600	Loss_mean:0.01635358917119447	Loss_std:0.018716732773008563
Iteration:2700	Loss_mean:0.008767501078546047	Loss_std:0.009963940917671943
Iteration:2800	Loss_mean:0.007028655516915023	Loss_std:0.00649820669402986
Iteration:2900	Loss_mean:0.004541109423007584	Loss_std:0.004986671530891263
Iteration:3000	Loss_mean:0.0036201587401592404	Loss_std:0.0028861045852374345
Iteration:3100	Loss_mean:0.003505096850567497	Loss_std:0.0035793944146689334
Iteration:3200	Loss_mean:0.003445333803028916	Loss_std:0.0049139638373564675
Iteration:3300	Loss_mean:0.003054713843303034	Loss_std:0.002471835614924103
