Running experiment synthetic3
Pretraining model on donor units
Iteration:0	Loss_mean:0.7257382273674011	Loss_std:0.0
Iteration:100	Loss_mean:0.914301338903606	Loss_std:0.7134594136323845
Iteration:200	Loss_mean:0.27138843483291564	Loss_std:0.2836520248468273
Iteration:300	Loss_mean:0.18844698987435549	Loss_std:0.2160786373651623
Iteration:400	Loss_mean:0.15397742189699784	Loss_std:0.1658192983866746
Iteration:500	Loss_mean:0.10739897118415684	Loss_std:0.09671212370024097
Iteration:600	Loss_mean:0.11656485857500229	Loss_std:0.15463564661913545
Iteration:700	Loss_mean:0.09472281775902956	Loss_std:0.10364624688581642
Iteration:800	Loss_mean:0.06464077762328088	Loss_std:0.08994670415888577
Iteration:900	Loss_mean:0.057757493614917624	Loss_std:0.098819355980308
Iteration:1000	Loss_mean:0.04477083090459928	Loss_std:0.05435348274002847
Iteration:1100	Loss_mean:0.05589097755291732	Loss_std:0.07499318820703978
Iteration:1200	Loss_mean:0.03512168554327218	Loss_std:0.039703792903623504
Iteration:1300	Loss_mean:0.034455314208753404	Loss_std:0.04030458267342765
Iteration:1400	Loss_mean:0.02622742799227126	Loss_std:0.027276440166232752
Iteration:1500	Loss_mean:0.023390295658027752	Loss_std:0.025993539319797337
Iteration:1600	Loss_mean:0.026736760933563346	Loss_std:0.02810014591708952
Iteration:1700	Loss_mean:0.022023508753045463	Loss_std:0.020592655548094575
Iteration:1800	Loss_mean:0.023290389202302322	Loss_std:0.02211703451677196
Iteration:1900	Loss_mean:0.02514217211632058	Loss_std:0.025283168857776976
Iteration:2000	Loss_mean:0.021232062138733455	Loss_std:0.019848336501028088
Iteration:2100	Loss_mean:0.019833142281277104	Loss_std:0.01796955484736634
Iteration:2200	Loss_mean:0.019352312703558708	Loss_std:0.018155962190281438
Iteration:2300	Loss_mean:0.017234110655499534	Loss_std:0.01846630677216955
Iteration:2400	Loss_mean:0.01993473647336941	Loss_std:0.02238345539958155
Iteration:2500	Loss_mean:0.023207366000278853	Loss_std:0.02034018851964928
Iteration:2600	Loss_mean:0.019088724762550555	Loss_std:0.021743902209342435
Iteration:2700	Loss_mean:0.018652760771947215	Loss_std:0.019955466267124616
Iteration:2800	Loss_mean:0.015139242071927583	Loss_std:0.01463185426416975
Iteration:2900	Loss_mean:0.01922761706460733	Loss_std:0.022606071028758407
Iteration:3000	Loss_mean:0.020363578134565616	Loss_std:0.021078746086850175
Iteration:3100	Loss_mean:0.018115101790172047	Loss_std:0.016519431791035415
Iteration:3200	Loss_mean:0.019092268792301182	Loss_std:0.022134047879834983
Iteration:3300	Loss_mean:0.013810732338170055	Loss_std:0.015703543985720013
Iteration:3400	Loss_mean:0.01579063929384574	Loss_std:0.01576466697252085
Iteration:3500	Loss_mean:0.016312334483664016	Loss_std:0.015833006709780304
Iteration:3600	Loss_mean:0.011873642168939113	Loss_std:0.01223057668570278
Iteration:3700	Loss_mean:0.015499152836491703	Loss_std:0.015792876069304043
Iteration:3800	Loss_mean:0.01881534018990351	Loss_std:0.018983092344022533
Iteration:3900	Loss_mean:0.014330605294053384	Loss_std:0.013968644920744327
Iteration:4000	Loss_mean:0.01582972527423408	Loss_std:0.018937148535379724
Iteration:4100	Loss_mean:0.017755614146008156	Loss_std:0.017641043328103057
Iteration:4200	Loss_mean:0.015877487467951142	Loss_std:0.0178636786907469
Iteration:4300	Loss_mean:0.016996382208017167	Loss_std:0.014979338060104463
Iteration:4400	Loss_mean:0.013244445056670884	Loss_std:0.014561699761099304
Iteration:4500	Loss_mean:0.01457268686615862	Loss_std:0.0156238554759999
Iteration:4600	Loss_mean:0.016960075985407455	Loss_std:0.01799756163218296
Iteration:4700	Loss_mean:0.017059681622195056	Loss_std:0.016378697801352322
Iteration:4800	Loss_mean:0.012126794344367227	Loss_std:0.015794519863255564
Iteration:4900	Loss_mean:0.012207416713645216	Loss_std:0.011379869327217892
Iteration:5000	Loss_mean:0.013235194962471724	Loss_std:0.014528024503473526
Iteration:5100	Loss_mean:0.014633321190194693	Loss_std:0.019056363522055017
Iteration:5200	Loss_mean:0.013326117389369755	Loss_std:0.01529360463371873
Iteration:5300	Loss_mean:0.01748440620023757	Loss_std:0.01952700270470712
Iteration:5400	Loss_mean:0.020590567765175365	Loss_std:0.02420641307721231
Iteration:5500	Loss_mean:0.017886214147874852	Loss_std:0.019255436096035503
Iteration:5600	Loss_mean:0.015725408561411313	Loss_std:0.01926519439281179
Iteration:5700	Loss_mean:0.020916562828206225	Loss_std:0.021317129698361484
Iteration:5800	Loss_mean:0.014941577059216797	Loss_std:0.015654217374436893
Iteration:5900	Loss_mean:0.015173576095548924	Loss_std:0.018627881686892646
Iteration:6000	Loss_mean:0.014113619339841534	Loss_std:0.012407980254606538
Iteration:6100	Loss_mean:0.019585950095788576	Loss_std:0.021854595317214797
Iteration:6200	Loss_mean:0.018453881020541303	Loss_std:0.022185224924141937
Iteration:6300	Loss_mean:0.015399196435173507	Loss_std:0.017258276859232067
Iteration:6400	Loss_mean:0.012284474500629585	Loss_std:0.014021376309573163
Iteration:6500	Loss_mean:0.016975088789113215	Loss_std:0.018424075044577826
Iteration:6600	Loss_mean:0.012428200671565718	Loss_std:0.01353956421194068
Iteration:6700	Loss_mean:0.014088311219820753	Loss_std:0.016912567419977383
Iteration:6800	Loss_mean:0.01617467690259218	Loss_std:0.015341539374110907
Iteration:6900	Loss_mean:0.017540184317622335	Loss_std:0.017584481815282434
Iteration:7000	Loss_mean:0.015480128963536116	Loss_std:0.017639083586099957
Iteration:7100	Loss_mean:0.015523045709123835	Loss_std:0.016589260492945523
Iteration:7200	Loss_mean:0.009811654502118471	Loss_std:0.009862437089978556
Iteration:7300	Loss_mean:0.013927783782419283	Loss_std:0.015113848462114981
Iteration:7400	Loss_mean:0.012591346196713857	Loss_std:0.011218890622813638
Iteration:7500	Loss_mean:0.012328806527730194	Loss_std:0.013300470483164887
Iteration:7600	Loss_mean:0.013037763631436973	Loss_std:0.013063930506436382
Iteration:7700	Loss_mean:0.011332888766773977	Loss_std:0.011796983940655198
Iteration:7800	Loss_mean:0.014719222640487716	Loss_std:0.01570689969093648
Iteration:7900	Loss_mean:0.01641324623313267	Loss_std:0.014453842260629948
Iteration:8000	Loss_mean:0.011359301314223557	Loss_std:0.01037291821369635
Iteration:8100	Loss_mean:0.015571368018863723	Loss_std:0.016836335665251508
Iteration:8200	Loss_mean:0.014188402430154384	Loss_std:0.015953680829253428
Iteration:8300	Loss_mean:0.01548624498565914	Loss_std:0.018393455435266187
Iteration:8400	Loss_mean:0.016351720650563947	Loss_std:0.022479301260726246
Iteration:8500	Loss_mean:0.01442559503542725	Loss_std:0.016853744508953904
Iteration:8600	Loss_mean:0.013225448089942802	Loss_std:0.011699355658491253
Iteration:8700	Loss_mean:0.012634281438076869	Loss_std:0.012665588949189016
Iteration:8800	Loss_mean:0.013714664196158992	Loss_std:0.01577627498658529
Iteration:8900	Loss_mean:0.01176744349184446	Loss_std:0.011359342300337836
Iteration:9000	Loss_mean:0.01311604320522747	Loss_std:0.013721796604771462
Iteration:9100	Loss_mean:0.010202199945561007	Loss_std:0.008484904657278884
Iteration:9200	Loss_mean:0.017556235579395434	Loss_std:0.016713924106555166
Iteration:9300	Loss_mean:0.015158406871196349	Loss_std:0.017392140122341318
Iteration:9400	Loss_mean:0.015696435208574257	Loss_std:0.015741381868976667
Iteration:9500	Loss_mean:0.014781438558175068	Loss_std:0.017780626077732876
Iteration:9600	Loss_mean:0.01570581369131105	Loss_std:0.017634255744475774
Iteration:9700	Loss_mean:0.014442521259479691	Loss_std:0.016023702468427173
Iteration:9800	Loss_mean:0.013622462962375721	Loss_std:0.01552092768056176
Iteration:9900	Loss_mean:0.015541012549947482	Loss_std:0.015082748453268294
Iteration:10000	Loss_mean:0.013041545334272087	Loss_std:0.014074685187731407
Iteration:10100	Loss_mean:0.014872052108403295	Loss_std:0.01575510314422903
Iteration:10200	Loss_mean:0.013188034472841536	Loss_std:0.014278219761935886
Iteration:10300	Loss_mean:0.013659706336038652	Loss_std:0.017147997901312693
Iteration:10400	Loss_mean:0.014875937572214752	Loss_std:0.0154684633520985
Iteration:10500	Loss_mean:0.009889442726271227	Loss_std:0.008774456889171991
Iteration:10600	Loss_mean:0.013144942593207816	Loss_std:0.014255672993144215
Iteration:10700	Loss_mean:0.014272491601950606	Loss_std:0.01660191083155957
Iteration:10800	Loss_mean:0.011715239812474465	Loss_std:0.012144673613285572
Iteration:10900	Loss_mean:0.012493191505964205	Loss_std:0.015077785124488508
Iteration:11000	Loss_mean:0.015616869948134991	Loss_std:0.016460798108821742
Iteration:11100	Loss_mean:0.01326610959804384	Loss_std:0.012550449655060672
Iteration:11200	Loss_mean:0.013552680083666929	Loss_std:0.01506857618883861
Iteration:11300	Loss_mean:0.01249713287987106	Loss_std:0.014496065597226498
Iteration:11400	Loss_mean:0.01324826557043707	Loss_std:0.01349891010311629
Iteration:11500	Loss_mean:0.012132541001410573	Loss_std:0.012343914806585586
Iteration:11600	Loss_mean:0.012677693691803143	Loss_std:0.01124819155164743
Iteration:11700	Loss_mean:0.014247180318488973	Loss_std:0.013874799668553027
Iteration:11800	Loss_mean:0.012906166491520708	Loss_std:0.013825271982650694
Iteration:11900	Loss_mean:0.012712977167102507	Loss_std:0.015886041406216606
Iteration:12000	Loss_mean:0.010755220601859038	Loss_std:0.01201217540756354
Iteration:12100	Loss_mean:0.011680411355337128	Loss_std:0.011654967553845319
Iteration:12200	Loss_mean:0.013321251708548516	Loss_std:0.013692291758116319
Iteration:12300	Loss_mean:0.014456757284060586	Loss_std:0.015443801134934983
Iteration:12400	Loss_mean:0.011414788102847524	Loss_std:0.011079048040521627
Iteration:12500	Loss_mean:0.013635501222561288	Loss_std:0.014381602108586373
Iteration:12600	Loss_mean:0.012436838294524933	Loss_std:0.011427034392313531
Iteration:12700	Loss_mean:0.012227378238894743	Loss_std:0.012654795218260328
Iteration:12800	Loss_mean:0.011083453900209862	Loss_std:0.011648085549152485
Iteration:12900	Loss_mean:0.011318706875026691	Loss_std:0.011424017424001644
Iteration:13000	Loss_mean:0.015465414278041862	Loss_std:0.01487367655427005
