Running experiment synthetic
Pretraining model on donor units
Iteration:0	Loss_mean:0.5705819725990295	Loss_std:0.0
Iteration:100	Loss_mean:0.3010471774451435	Loss_std:0.21550218753662506
Iteration:200	Loss_mean:0.25234194273129107	Loss_std:0.14916056541663564
Iteration:300	Loss_mean:0.17348360908217728	Loss_std:0.10312816278914122
Iteration:400	Loss_mean:0.09431288063526154	Loss_std:0.06997081213327468
Iteration:500	Loss_mean:0.07826645231805741	Loss_std:0.06384712392314004
Iteration:600	Loss_mean:0.043431515945121645	Loss_std:0.0330383297835804
Iteration:700	Loss_mean:0.03684404635569081	Loss_std:0.03020667146560059
Iteration:800	Loss_mean:0.02808407524600625	Loss_std:0.022503564848839308
Iteration:900	Loss_mean:0.02816986563615501	Loss_std:0.02335406786725851
Iteration:1000	Loss_mean:0.0275530019775033	Loss_std:0.018642195867376997
Iteration:1100	Loss_mean:0.027071286402642728	Loss_std:0.02371686860501247
Iteration:1200	Loss_mean:0.026562865579035134	Loss_std:0.02024195634647065
Iteration:1300	Loss_mean:0.02339693736517802	Loss_std:0.019222959784407072
Iteration:1400	Loss_mean:0.023207991372328252	Loss_std:0.02151947680037953
Iteration:1500	Loss_mean:0.023099225680343807	Loss_std:0.01901926125998144
Iteration:1600	Loss_mean:0.03133173100184649	Loss_std:0.024565851491641175
Iteration:1700	Loss_mean:0.023883164890576153	Loss_std:0.019777319320386934
Iteration:1800	Loss_mean:0.021649733390659093	Loss_std:0.01738563032943909
Iteration:1900	Loss_mean:0.028864154028706252	Loss_std:0.025524010252509676
Iteration:2000	Loss_mean:0.02177131926873699	Loss_std:0.017185133460205577
Iteration:2100	Loss_mean:0.02801261005690321	Loss_std:0.02512715005573044
Iteration:2200	Loss_mean:0.021863684179261326	Loss_std:0.02146971566065249
Iteration:2300	Loss_mean:0.021712977188872173	Loss_std:0.018099142398094802
Iteration:2400	Loss_mean:0.023685062429867686	Loss_std:0.022046191323284097
Iteration:2500	Loss_mean:0.021825214144773782	Loss_std:0.01681593903303139
Iteration:2600	Loss_mean:0.027004626297857614	Loss_std:0.021530092744734042
Iteration:2700	Loss_mean:0.022899617443326862	Loss_std:0.019822618010823228
Iteration:2800	Loss_mean:0.02146683607948944	Loss_std:0.019282087272197764
Iteration:2900	Loss_mean:0.021093462104909123	Loss_std:0.020896774016703156
Iteration:3000	Loss_mean:0.024020800510188563	Loss_std:0.02361898887000964
Iteration:3100	Loss_mean:0.023357760827057063	Loss_std:0.020164724804207706
Iteration:3200	Loss_mean:0.024257702331524342	Loss_std:0.022181238806229908
Iteration:3300	Loss_mean:0.024610931694041938	Loss_std:0.018517884377980205
Iteration:3400	Loss_mean:0.027896353194955738	Loss_std:0.021639255739366935
Iteration:3500	Loss_mean:0.018720478946343065	Loss_std:0.015630375264862925
Iteration:3600	Loss_mean:0.02158930787234567	Loss_std:0.015952473181059464
Iteration:3700	Loss_mean:0.01915529213147238	Loss_std:0.014192290471607681
Iteration:3800	Loss_mean:0.023808429850032554	Loss_std:0.022529150668592356
Iteration:3900	Loss_mean:0.019533886878052728	Loss_std:0.017741735673069792
Iteration:4000	Loss_mean:0.022198666783515363	Loss_std:0.019134471697499017
Iteration:4100	Loss_mean:0.02001735908910632	Loss_std:0.02038985019574983
Iteration:4200	Loss_mean:0.023710067681968212	Loss_std:0.019462569581560184
Iteration:4300	Loss_mean:0.021483853578101845	Loss_std:0.01951693977723124
Iteration:4400	Loss_mean:0.022300056540407242	Loss_std:0.01793931454818001
Iteration:4500	Loss_mean:0.024819479794241487	Loss_std:0.020492012716872343
Iteration:4600	Loss_mean:0.020530946475919336	Loss_std:0.01577040513965738
Iteration:4700	Loss_mean:0.020180367033462973	Loss_std:0.016106126085176843
Iteration:4800	Loss_mean:0.019611335049849004	Loss_std:0.018362792423176878
Iteration:4900	Loss_mean:0.02269918366568163	Loss_std:0.01625642628544978
Iteration:5000	Loss_mean:0.019873986435122788	Loss_std:0.015475725357720472
Iteration:5100	Loss_mean:0.02187350023770705	Loss_std:0.015834351410375355
Iteration:5200	Loss_mean:0.019921922688372434	Loss_std:0.01814182540384537
Iteration:5300	Loss_mean:0.019253160969819872	Loss_std:0.015127207498914389
