Running experiment prop99
Pretraining model on donor units
Iteration:0	Loss_mean:0.2737649977207184	Loss_std:0.0
Iteration:100	Loss_mean:0.40524180583655833	Loss_std:0.27225987155935777
Iteration:200	Loss_mean:0.19813619881868363	Loss_std:0.13189384216785133
Iteration:300	Loss_mean:0.14037264516577125	Loss_std:0.12759017469441034
Iteration:400	Loss_mean:0.14862362161278725	Loss_std:0.12805696085385132
Iteration:500	Loss_mean:0.09732834385707974	Loss_std:0.07660264380332292
Iteration:600	Loss_mean:0.07884475548751652	Loss_std:0.062350764458761004
Iteration:700	Loss_mean:0.06367531531024724	Loss_std:0.05404528918214641
Iteration:800	Loss_mean:0.05500529237790033	Loss_std:0.06010996537350696
Iteration:900	Loss_mean:0.04844162342371419	Loss_std:0.04998515814361993
Iteration:1000	Loss_mean:0.03858292650198564	Loss_std:0.04125963187309763
Iteration:1100	Loss_mean:0.029782466361066327	Loss_std:0.034973966391864536
Iteration:1200	Loss_mean:0.023406905338633807	Loss_std:0.02907410008412397
Iteration:1300	Loss_mean:0.018896165204932914	Loss_std:0.02471152944866774
Iteration:1400	Loss_mean:0.020684216726222074	Loss_std:0.031440495515186496
Iteration:1500	Loss_mean:0.012170472824946045	Loss_std:0.01536435676348902
Iteration:1600	Loss_mean:0.018192934881080872	Loss_std:0.024920825254264232
Iteration:1700	Loss_mean:0.016572094489529263	Loss_std:0.022190721273860348
Iteration:1800	Loss_mean:0.015139101147069596	Loss_std:0.02162607838844712
Iteration:1900	Loss_mean:0.014329481812601443	Loss_std:0.02208833243000716
Iteration:2000	Loss_mean:0.021265221788999044	Loss_std:0.03437232397926536
Iteration:2100	Loss_mean:0.010157006070221542	Loss_std:0.014801700137328809
Iteration:2200	Loss_mean:0.015070148684462764	Loss_std:0.019051626759729677
Iteration:2300	Loss_mean:0.012805461325624492	Loss_std:0.02342385568110102
Iteration:2400	Loss_mean:0.011421769398293691	Loss_std:0.019148036818621407
Iteration:2500	Loss_mean:0.015335493660531939	Loss_std:0.018492775223510942
Iteration:2600	Loss_mean:0.012484931560029508	Loss_std:0.02113366517407094
Iteration:2700	Loss_mean:0.012950088034413056	Loss_std:0.020028209257547613
Iteration:2800	Loss_mean:0.013354448670288548	Loss_std:0.019906527558309597
Iteration:2900	Loss_mean:0.01695217524887994	Loss_std:0.02870285084394107
Iteration:3000	Loss_mean:0.01755170227130293	Loss_std:0.029192248227274196
Iteration:3100	Loss_mean:0.01637452771741664	Loss_std:0.03211654290355738
Iteration:3200	Loss_mean:0.0135816299936414	Loss_std:0.023839477731506402
Iteration:3300	Loss_mean:0.012705117534642341	Loss_std:0.015546605053461043
Iteration:3400	Loss_mean:0.01589865087677026	Loss_std:0.022334174377741142
Iteration:3500	Loss_mean:0.009415868058931664	Loss_std:0.014513290944602308
Iteration:3600	Loss_mean:0.01761720940208761	Loss_std:0.028783043665035084
Iteration:3700	Loss_mean:0.014562526702866308	Loss_std:0.023166802483070837
Iteration:3800	Loss_mean:0.012042102616978809	Loss_std:0.020909305804441062
Iteration:3900	Loss_mean:0.009792790724313818	Loss_std:0.017742039535021802
Iteration:4000	Loss_mean:0.01215941702026612	Loss_std:0.019784054157025346
Iteration:4100	Loss_mean:0.010770503193380137	Loss_std:0.012286457827396074
Iteration:4200	Loss_mean:0.010853796049195808	Loss_std:0.02406610986098867
Iteration:4300	Loss_mean:0.007753008667641552	Loss_std:0.011543888787766025
Iteration:4400	Loss_mean:0.003413455338377389	Loss_std:0.004705929046390293
Iteration:4500	Loss_mean:0.0025888790252065518	Loss_std:0.0034634277607154137
Iteration:4600	Loss_mean:0.0033350281354069013	Loss_std:0.004472667703626224
Iteration:4700	Loss_mean:0.0026106080567114987	Loss_std:0.0035073515080437075
Iteration:4800	Loss_mean:0.0020068041812919546	Loss_std:0.00203351494361899
Iteration:4900	Loss_mean:0.0029741391887364442	Loss_std:0.0049690358557027275
Iteration:5000	Loss_mean:0.0030083838892460335	Loss_std:0.0034799367168613527
