Running experiment synthetic
Pretraining model on donor units
Iteration:0	Loss_mean:0.19771257042884827	Loss_std:0.0
Iteration:100	Loss_mean:0.3144905676692724	Loss_std:0.2559198469027161
Iteration:200	Loss_mean:0.2971635145100299	Loss_std:0.23820771874529925
Iteration:300	Loss_mean:0.24072215632069857	Loss_std:0.2208624527768686
Iteration:400	Loss_mean:0.26703933510463684	Loss_std:0.2560799340146921
Iteration:500	Loss_mean:0.22681226720102132	Loss_std:0.24371249554013272
Iteration:600	Loss_mean:0.18688923350069672	Loss_std:0.19006284834800813
Iteration:700	Loss_mean:0.17599091185256838	Loss_std:0.1635614290457705
Iteration:800	Loss_mean:0.1651519639790058	Loss_std:0.20706621085745874
Iteration:900	Loss_mean:0.1314981739828363	Loss_std:0.1769407021588218
Iteration:1000	Loss_mean:0.10726270985673182	Loss_std:0.11982972603041675
Iteration:1100	Loss_mean:0.08463833743706345	Loss_std:0.080705693495025
Iteration:1200	Loss_mean:0.06988489280920476	Loss_std:0.05237953578328446
Iteration:1300	Loss_mean:0.06832421369152143	Loss_std:0.05945454480552836
Iteration:1400	Loss_mean:0.046179738050559534	Loss_std:0.03833535445523002
Iteration:1500	Loss_mean:0.04370826063910499	Loss_std:0.04109791919343521
Iteration:1600	Loss_mean:0.03660441188781988	Loss_std:0.04349846788088312
Iteration:1700	Loss_mean:0.024538695949595422	Loss_std:0.02105031498118604
Iteration:1800	Loss_mean:0.03155972047883551	Loss_std:0.03143039908954475
Iteration:1900	Loss_mean:0.02597161279147258	Loss_std:0.025466193242668595
Iteration:2000	Loss_mean:0.026734414342790842	Loss_std:0.03282951882701665
Iteration:2100	Loss_mean:0.021548973780300004	Loss_std:0.021859862964757705
Iteration:2200	Loss_mean:0.01792369757196866	Loss_std:0.02099741730556885
Iteration:2300	Loss_mean:0.022366701581631787	Loss_std:0.02263850773956471
Iteration:2400	Loss_mean:0.020731345327294547	Loss_std:0.019103973765773476
Iteration:2500	Loss_mean:0.022492871240247042	Loss_std:0.023528290598312525
Iteration:2600	Loss_mean:0.025801176879031117	Loss_std:0.024704489100483763
Iteration:2700	Loss_mean:0.020535902505507693	Loss_std:0.023399233591944454
Iteration:2800	Loss_mean:0.02277575730404351	Loss_std:0.02811175772658816
Iteration:2900	Loss_mean:0.022432676985190483	Loss_std:0.022232751403219668
Iteration:3000	Loss_mean:0.018069386098650286	Loss_std:0.01947969701739127
Iteration:3100	Loss_mean:0.020027006048476324	Loss_std:0.019174575267460994
Iteration:3200	Loss_mean:0.019572752190506436	Loss_std:0.018621517108004956
Iteration:3300	Loss_mean:0.019299025124055333	Loss_std:0.018101128354501173
Iteration:3400	Loss_mean:0.01649799898150377	Loss_std:0.014080761681026097
Iteration:3500	Loss_mean:0.027613409891491757	Loss_std:0.024484931024705323
Iteration:3600	Loss_mean:0.01958321870522923	Loss_std:0.020393922629291253
Iteration:3700	Loss_mean:0.022719736768049188	Loss_std:0.021295758324814285
Iteration:3800	Loss_mean:0.020447375940857455	Loss_std:0.02010347762583414
Iteration:3900	Loss_mean:0.01752096122887451	Loss_std:0.018581698185169863
Iteration:4000	Loss_mean:0.022136982876691035	Loss_std:0.023022505115603654
Iteration:4100	Loss_mean:0.02118113368982449	Loss_std:0.024285172009627258
Iteration:4200	Loss_mean:0.021850328068831006	Loss_std:0.018752737151331487
Iteration:4300	Loss_mean:0.02005068104946986	Loss_std:0.019936176021446022
Iteration:4400	Loss_mean:0.02113448978663655	Loss_std:0.02636095695670412
Iteration:4500	Loss_mean:0.02435873792041093	Loss_std:0.028488817536266507
Iteration:4600	Loss_mean:0.02045011625974439	Loss_std:0.021648002373911682
Iteration:4700	Loss_mean:0.02125996124057565	Loss_std:0.02166601627700663
Iteration:4800	Loss_mean:0.019341195512970442	Loss_std:0.022111348328100567
Iteration:4900	Loss_mean:0.015450513952819165	Loss_std:0.017598382459877115
Iteration:5000	Loss_mean:0.01925252200977411	Loss_std:0.020844118143685544
Iteration:5100	Loss_mean:0.015701919815473957	Loss_std:0.01676838551528541
Iteration:5200	Loss_mean:0.018901739943539723	Loss_std:0.02084634411622237
Iteration:5300	Loss_mean:0.019670693672669586	Loss_std:0.020477306803029383
Iteration:5400	Loss_mean:0.020939026542473583	Loss_std:0.02069832180025222
Iteration:5500	Loss_mean:0.018123098340292926	Loss_std:0.01875037938564127
Iteration:5600	Loss_mean:0.022692219472810395	Loss_std:0.02500970148904937
