Running experiment synthetic
Low rank conversion done
Pretraining model on donor units
Iteration:0	Loss_mean:0.6812783479690552	Loss_std:0.0
Iteration:100	Loss_mean:0.9187013352662325	Loss_std:0.7446514141712345
Iteration:200	Loss_mean:0.5631655480340123	Loss_std:0.4865243317676166
Iteration:300	Loss_mean:0.2564936944656074	Loss_std:0.25189946940854163
Iteration:400	Loss_mean:0.15069701394066215	Loss_std:0.09502904560549844
Iteration:500	Loss_mean:0.11742973888292908	Loss_std:0.09693102285027247
Iteration:600	Loss_mean:0.06419769573025405	Loss_std:0.048945404090476034
Iteration:700	Loss_mean:0.03944437742000446	Loss_std:0.036756088220639825
Iteration:800	Loss_mean:0.03837126617785543	Loss_std:0.030682168846727937
Iteration:900	Loss_mean:0.030902352056000382	Loss_std:0.02905098880362656
Iteration:1000	Loss_mean:0.025814205759670587	Loss_std:0.02088937134163155
Iteration:1100	Loss_mean:0.026646978789940476	Loss_std:0.024975301587312804
Iteration:1200	Loss_mean:0.025561249684542417	Loss_std:0.02730517851049491
Iteration:1300	Loss_mean:0.02785557059338316	Loss_std:0.024941863406376743
Iteration:1400	Loss_mean:0.024307204304495827	Loss_std:0.020141142544322397
Iteration:1500	Loss_mean:0.02457557523623109	Loss_std:0.023658863692788013
Iteration:1600	Loss_mean:0.02433982991031371	Loss_std:0.023016289989990828
Iteration:1700	Loss_mean:0.024253829603549094	Loss_std:0.02290007008494357
Iteration:1800	Loss_mean:0.019368880204856397	Loss_std:0.01731922784692181
Iteration:1900	Loss_mean:0.02163486503297463	Loss_std:0.02087582040248233
Iteration:2000	Loss_mean:0.018095195358619094	Loss_std:0.018359378187056605
Iteration:2100	Loss_mean:0.023826131282839925	Loss_std:0.02366449663015013
Iteration:2200	Loss_mean:0.019865212036529557	Loss_std:0.01986133058568929
Iteration:2300	Loss_mean:0.02222353732329793	Loss_std:0.0262804498915717
Iteration:2400	Loss_mean:0.019798115129233337	Loss_std:0.01829654246034102
Iteration:2500	Loss_mean:0.022092453739023767	Loss_std:0.023044994367805556
Iteration:2600	Loss_mean:0.0201129527942976	Loss_std:0.018666349611774005
Iteration:2700	Loss_mean:0.02094478041108232	Loss_std:0.018497658734148978
Iteration:2800	Loss_mean:0.017561677247285842	Loss_std:0.0166005425423767
Iteration:2900	Loss_mean:0.023654268151149155	Loss_std:0.02230180982886263
Iteration:3000	Loss_mean:0.019391691942582837	Loss_std:0.019359288382507635
Iteration:3100	Loss_mean:0.019460476390086114	Loss_std:0.016713583639689916
Iteration:3200	Loss_mean:0.023752596284030005	Loss_std:0.024499086331647015
Iteration:3300	Loss_mean:0.023287317354697735	Loss_std:0.022319872102348808
Iteration:3400	Loss_mean:0.021365325220976956	Loss_std:0.020058071042417778
Iteration:3500	Loss_mean:0.02276058345392812	Loss_std:0.022592976755233075
Iteration:3600	Loss_mean:0.021629849087330514	Loss_std:0.019537410761193832
Iteration:3700	Loss_mean:0.01975884463172406	Loss_std:0.014094939968678246
Iteration:3800	Loss_mean:0.02003718628839124	Loss_std:0.017504824305634794
Iteration:3900	Loss_mean:0.020240969581063837	Loss_std:0.019061802819661574
Iteration:4000	Loss_mean:0.02068435260502156	Loss_std:0.018797773566511296
Iteration:4100	Loss_mean:0.016975479769171214	Loss_std:0.015324699357781227
Iteration:4200	Loss_mean:0.021002709452295674	Loss_std:0.02143203171395975
Iteration:4300	Loss_mean:0.019167734527145514	Loss_std:0.015977879567525364
Iteration:4400	Loss_mean:0.017269698648015037	Loss_std:0.016170344188706352
Iteration:4500	Loss_mean:0.01690444271254819	Loss_std:0.016943070332799078
Iteration:4600	Loss_mean:0.014700560690835118	Loss_std:0.01279424281315453
Iteration:4700	Loss_mean:0.0155494130338775	Loss_std:0.015492342584308785
Iteration:4800	Loss_mean:0.01637350710458122	Loss_std:0.014423577072415376
Iteration:4900	Loss_mean:0.013545508837560193	Loss_std:0.013232243047756912
Iteration:5000	Loss_mean:0.014086443464038893	Loss_std:0.013250457851501753
Iteration:5100	Loss_mean:0.013167606223141774	Loss_std:0.0118311205169466
Iteration:5200	Loss_mean:0.011997879749105777	Loss_std:0.010431018434434355
Iteration:5300	Loss_mean:0.010602198457345367	Loss_std:0.009130656548669954
Iteration:5400	Loss_mean:0.011792622688226402	Loss_std:0.010324484691904438
Iteration:5500	Loss_mean:0.013809093119052705	Loss_std:0.012695060723747093
Iteration:5600	Loss_mean:0.012576006443123334	Loss_std:0.01079760850372387
Iteration:5700	Loss_mean:0.011133422801503912	Loss_std:0.00980071301453588
Iteration:5800	Loss_mean:0.012617868393717799	Loss_std:0.012293589584672325
Iteration:5900	Loss_mean:0.013344516752986237	Loss_std:0.012576256006226853
Iteration:6000	Loss_mean:0.012641892924439162	Loss_std:0.01287882811838896
Iteration:6100	Loss_mean:0.010286970727611333	Loss_std:0.009514300896353963
Iteration:6200	Loss_mean:0.011803504751296713	Loss_std:0.010466581320110217
Iteration:6300	Loss_mean:0.011221896052593366	Loss_std:0.012087446989305393
Iteration:6400	Loss_mean:0.01052625235839514	Loss_std:0.00938196949030318
Iteration:6500	Loss_mean:0.011749408004106954	Loss_std:0.011414100228751162
Iteration:6600	Loss_mean:0.01042452457943	Loss_std:0.009488225809720129
Iteration:6700	Loss_mean:0.00949241616530344	Loss_std:0.008622392249867314
Iteration:6800	Loss_mean:0.011548894174047745	Loss_std:0.009953252566005719
Iteration:6900	Loss_mean:0.009218146472703666	Loss_std:0.009344318274584915
Iteration:7000	Loss_mean:0.009888702917378396	Loss_std:0.009448583020259594
Iteration:7100	Loss_mean:0.010020686422358267	Loss_std:0.010722752509058395
Iteration:7200	Loss_mean:0.01041773207776714	Loss_std:0.008595428857462513
Iteration:7300	Loss_mean:0.010229775112238713	Loss_std:0.009694350671855038
Iteration:7400	Loss_mean:0.010593332527205348	Loss_std:0.010283442109594572
Iteration:7500	Loss_mean:0.009532299037673511	Loss_std:0.008440458860972298
Iteration:7600	Loss_mean:0.009044195225578732	Loss_std:0.009375830287202354
Iteration:7700	Loss_mean:0.009547187291027513	Loss_std:0.008526774358025159
Iteration:7800	Loss_mean:0.008584563605254517	Loss_std:0.007518618640390557
Iteration:7900	Loss_mean:0.010013898912002333	Loss_std:0.010234773032941635
Iteration:8000	Loss_mean:0.011299702341784724	Loss_std:0.010041943881793022
Iteration:8100	Loss_mean:0.008450127030373551	Loss_std:0.007065622567192262
Iteration:8200	Loss_mean:0.009261883934377692	Loss_std:0.009067230574410886
Iteration:8300	Loss_mean:0.009222101127379574	Loss_std:0.007916701317779327
Iteration:8400	Loss_mean:0.009229111786698923	Loss_std:0.009089142600440019
Iteration:8500	Loss_mean:0.0099509615637362	Loss_std:0.010202539729169435
Iteration:8600	Loss_mean:0.007602675391826779	Loss_std:0.007263696993239188
Iteration:8700	Loss_mean:0.008770649224170484	Loss_std:0.007828852899310434
Iteration:8800	Loss_mean:0.009394174297922291	Loss_std:0.008299032919171822
Iteration:8900	Loss_mean:0.00889839779061731	Loss_std:0.00852796266489497
Iteration:9000	Loss_mean:0.007696273604233283	Loss_std:0.007299141247241718
