Low rank conversion done
Running experiment synthetic
Pretraining model on donor units
Iteration:0	Loss_mean:0.6611962914466858	Loss_std:0.0
Iteration:100	Loss_mean:0.8205581346899271	Loss_std:0.5983519396027893
Iteration:200	Loss_mean:0.43343525685369966	Loss_std:0.3659173574866236
Iteration:300	Loss_mean:0.22644043054431676	Loss_std:0.2433434745803166
Iteration:400	Loss_mean:0.19305455267429353	Loss_std:0.20539898624779718
Iteration:500	Loss_mean:0.15746464433148502	Loss_std:0.12228592176563795
Iteration:600	Loss_mean:0.09939195677638053	Loss_std:0.06551759978193093
Iteration:700	Loss_mean:0.0546152357943356	Loss_std:0.030116985530586317
Iteration:800	Loss_mean:0.047202076371759175	Loss_std:0.026985631228969905
Iteration:900	Loss_mean:0.03985227837227285	Loss_std:0.02580682966285121
Iteration:1000	Loss_mean:0.03330067732837051	Loss_std:0.021805915566546857
Iteration:1100	Loss_mean:0.029178851773031055	Loss_std:0.016552569188289287
Iteration:1200	Loss_mean:0.031137752356007697	Loss_std:0.023224440100753835
Iteration:1300	Loss_mean:0.02875911512412131	Loss_std:0.01835844553097284
Iteration:1400	Loss_mean:0.028352470784448087	Loss_std:0.01786389331012371
Iteration:1500	Loss_mean:0.026956805440131574	Loss_std:0.019337654831299837
Iteration:1600	Loss_mean:0.02538701751967892	Loss_std:0.018057428004311038
Iteration:1700	Loss_mean:0.027202880270779134	Loss_std:0.017285201671709
Iteration:1800	Loss_mean:0.020721091085579246	Loss_std:0.01704811661792958
Iteration:1900	Loss_mean:0.023423880622722208	Loss_std:0.015012536216923732
Iteration:2000	Loss_mean:0.02109037811635062	Loss_std:0.01590826835964349
Iteration:2100	Loss_mean:0.02558364048367366	Loss_std:0.019062320104916826
Iteration:2200	Loss_mean:0.022172893676906825	Loss_std:0.017482429276196438
Iteration:2300	Loss_mean:0.023478882317431272	Loss_std:0.018275905732814648
Iteration:2400	Loss_mean:0.022600924833677708	Loss_std:0.016252166051570975
Iteration:2500	Loss_mean:0.023634241609834135	Loss_std:0.019869682478058398
Iteration:2600	Loss_mean:0.021243015113286676	Loss_std:0.015874191847062447
Iteration:2700	Loss_mean:0.02278249557130039	Loss_std:0.016752935457103334
Iteration:2800	Loss_mean:0.02029409005539492	Loss_std:0.014779180953432492
Iteration:2900	Loss_mean:0.025765019403770566	Loss_std:0.01968958180207991
Iteration:3000	Loss_mean:0.02287649234291166	Loss_std:0.01833344031261748
Iteration:3100	Loss_mean:0.02169547000201419	Loss_std:0.013924908331638671
Iteration:3200	Loss_mean:0.02396877185907215	Loss_std:0.019783186354703945
Iteration:3300	Loss_mean:0.024760304514784365	Loss_std:0.019157645772124372
Iteration:3400	Loss_mean:0.02260057955281809	Loss_std:0.017142257495271995
Iteration:3500	Loss_mean:0.026097895679995417	Loss_std:0.020672187103407774
Iteration:3600	Loss_mean:0.02359375808155164	Loss_std:0.01806290978609309
Iteration:3700	Loss_mean:0.022686977053526788	Loss_std:0.016324934285767412
Iteration:3800	Loss_mean:0.021524565191939474	Loss_std:0.01416843017748626
Iteration:3900	Loss_mean:0.02127401877194643	Loss_std:0.01626923145120659
Iteration:4000	Loss_mean:0.02420261033112183	Loss_std:0.01809394192940357
Iteration:4100	Loss_mean:0.022849650296848267	Loss_std:0.016771411224297674
Iteration:4200	Loss_mean:0.02366428963607177	Loss_std:0.020100977412004176
Iteration:4300	Loss_mean:0.023227329473011194	Loss_std:0.015514920322142576
Iteration:4400	Loss_mean:0.02144181648734957	Loss_std:0.01695148751252641
Iteration:4500	Loss_mean:0.023503410005941985	Loss_std:0.018843746699120624
Iteration:4600	Loss_mean:0.01892353269504383	Loss_std:0.012189130465721943
Iteration:4700	Loss_mean:0.023314272994175555	Loss_std:0.01908205121019453
Iteration:4800	Loss_mean:0.022432284366805107	Loss_std:0.01734817507954693
Iteration:4900	Loss_mean:0.021456339728320017	Loss_std:0.013516912102552339
Iteration:5000	Loss_mean:0.02101384419715032	Loss_std:0.017957550883355374
Iteration:5100	Loss_mean:0.021488881625700743	Loss_std:0.01723408053649176
Iteration:5200	Loss_mean:0.020479821590706705	Loss_std:0.014653271049807034
Iteration:5300	Loss_mean:0.018608667659573256	Loss_std:0.011757113148593156
Iteration:5400	Loss_mean:0.020257255593314767	Loss_std:0.015833649557366037
Iteration:5500	Loss_mean:0.022529722014442085	Loss_std:0.017228818631282228
Iteration:5600	Loss_mean:0.019435340934433044	Loss_std:0.015285187002581992
Iteration:5700	Loss_mean:0.020518843482714145	Loss_std:0.013222089427685869
Iteration:5800	Loss_mean:0.01899615890113637	Loss_std:0.01529945854827057
