Running experiment synthetic
Iteration:22300	Loss_mean:0.00716670767753385	Loss_std:0.003751830093079555
Low rank conversion done
Pretraining model on donor units
Iteration:0	Loss_mean:2.2919867038726807	Loss_std:0.0
Iteration:22400	Loss_mean:0.007087300735292956	Loss_std:0.004146905623275981
Iteration:100	Loss_mean:1.6616407215595246	Loss_std:0.8656406238717461
Iteration:22500	Loss_mean:0.006442419053637422	Loss_std:0.003437169994355331
Iteration:200	Loss_mean:0.9112585452198982	Loss_std:0.6311673602448391
Iteration:22600	Loss_mean:0.007363420143956318	Loss_std:0.003886825882450843
Iteration:300	Loss_mean:0.24061179511249065	Loss_std:0.2402994160772031
Iteration:22700	Loss_mean:0.006808380350703374	Loss_std:0.0037774470772644945
Iteration:400	Loss_mean:0.16222346732392906	Loss_std:0.11388501785870307
Iteration:22800	Loss_mean:0.0066356725315563385	Loss_std:0.0035590927768289773
Iteration:500	Loss_mean:0.11145578869618475	Loss_std:0.06207468814563398
Iteration:22900	Loss_mean:0.006940068029798567	Loss_std:0.004079722999630527
Iteration:600	Loss_mean:0.07571296503767372	Loss_std:0.049078588978348735
Iteration:700	Loss_mean:0.05556259847711772	Loss_std:0.038628923276020216
Iteration:23000	Loss_mean:0.006853526015765965	Loss_std:0.004078465956663812
Iteration:800	Loss_mean:0.052742631533183156	Loss_std:0.03515180960243903
Iteration:23100	Loss_mean:0.007040732923196629	Loss_std:0.003852040835273699
Iteration:900	Loss_mean:0.03818407407728955	Loss_std:0.02400892038365118
Iteration:23200	Loss_mean:0.006110903887310996	Loss_std:0.0030946338338580137
Iteration:1000	Loss_mean:0.03332726603373885	Loss_std:0.023134371532032745
Iteration:23300	Loss_mean:0.006775804164353758	Loss_std:0.0031431820850801265
Iteration:1100	Loss_mean:0.030552396099083126	Loss_std:0.02449312273769194
Iteration:23400	Loss_mean:0.007176059533376247	Loss_std:0.004466065438863087
Iteration:1200	Loss_mean:0.029507525943918155	Loss_std:0.02547975444222936
Iteration:23500	Loss_mean:0.006609497806057334	Loss_std:0.0037177674237262705
Iteration:1300	Loss_mean:0.03075176599435508	Loss_std:0.021984441697301318
Iteration:23600	Loss_mean:0.006760515865753405	Loss_std:0.0045983603790725105
Iteration:1400	Loss_mean:0.027991611352190374	Loss_std:0.021765144912900897
Iteration:23700	Loss_mean:0.0072249046975048255	Loss_std:0.004529297252830588
Iteration:1500	Loss_mean:0.02580818149494007	Loss_std:0.02208436836562402
Iteration:23800	Loss_mean:0.007365406509488821	Loss_std:0.004076429983219929
Iteration:1600	Loss_mean:0.02610713221831247	Loss_std:0.021362878101862347
Iteration:23900	Loss_mean:0.007223438357468695	Loss_std:0.00422248033526762
Iteration:1700	Loss_mean:0.025750414340291173	Loss_std:0.020685736676456176
Iteration:24000	Loss_mean:0.007388744102790952	Loss_std:0.003940449551788813
Iteration:1800	Loss_mean:0.019848906855331735	Loss_std:0.015871123436348077
Iteration:24100	Loss_mean:0.006711647773045115	Loss_std:0.004334538126879971
Iteration:1900	Loss_mean:0.023213255561422556	Loss_std:0.018026228509614006
Iteration:24200	Loss_mean:0.007063477737829089	Loss_std:0.003577801529341968
Iteration:2000	Loss_mean:0.019390216544270516	Loss_std:0.017813137800074562
Iteration:24300	Loss_mean:0.007474716595606878	Loss_std:0.004106324368913401
Iteration:2100	Loss_mean:0.025125806252472103	Loss_std:0.02373719480239895
Iteration:24400	Loss_mean:0.00691599935409613	Loss_std:0.0041255392623615736
Iteration:2200	Loss_mean:0.02211542663164437	Loss_std:0.019290890999403214
Iteration:24500	Loss_mean:0.006463799083139748	Loss_std:0.00355793258563139
Iteration:2300	Loss_mean:0.02300474635907449	Loss_std:0.02309743337774313
Iteration:24600	Loss_mean:0.007156892204657197	Loss_std:0.004475101714985998
Iteration:2400	Loss_mean:0.021043517718208022	Loss_std:0.018622088680161884
Iteration:24700	Loss_mean:0.006882118736393749	Loss_std:0.0033432356716068513
Iteration:2500	Loss_mean:0.020792653681710363	Loss_std:0.019330206932592683
Iteration:24800	Loss_mean:0.006732149970484897	Loss_std:0.0032007965859962378
Iteration:2600	Loss_mean:0.020844668438658117	Loss_std:0.020294361503881114
Iteration:24900	Loss_mean:0.007247336895670742	Loss_std:0.004320486501672264
Iteration:2700	Loss_mean:0.02263513029785827	Loss_std:0.02035975877906024
Iteration:25000	Loss_mean:0.007170222085551359	Loss_std:0.004264361682959484
Iteration:2800	Loss_mean:0.018442872752202674	Loss_std:0.015969099803919612
Iteration:25100	Loss_mean:0.006689354084664955	Loss_std:0.00333864600773981
Iteration:2900	Loss_mean:0.022980833143228664	Loss_std:0.018137943360016576
Iteration:25200	Loss_mean:0.007223316679010168	Loss_std:0.003868129963405733
Iteration:3000	Loss_mean:0.020364339496009052	Loss_std:0.018743137571820574
Iteration:25300	Loss_mean:0.006521563170244917	Loss_std:0.0033401883379497307
Iteration:3100	Loss_mean:0.021212961134733633	Loss_std:0.014905730301922599
Iteration:25400	Loss_mean:0.006388907652581111	Loss_std:0.0034995245948579337
Iteration:3200	Loss_mean:0.023773321183398366	Loss_std:0.02329696995386206
Iteration:25500	Loss_mean:0.006602091598324478	Loss_std:0.003659866621790356
Iteration:3300	Loss_mean:0.026304059419780968	Loss_std:0.022444705194542863
Iteration:25600	Loss_mean:0.006568769095465541	Loss_std:0.00311195806912941
Iteration:3400	Loss_mean:0.02164051201660186	Loss_std:0.01858487624125558
Iteration:25700	Loss_mean:0.006901471338933334	Loss_std:0.004099790009337588
Iteration:3500	Loss_mean:0.02406560235656798	Loss_std:0.02091385374160824
Iteration:25800	Loss_mean:0.006557439912576228	Loss_std:0.0038603669232961687
Iteration:3600	Loss_mean:0.022079914680216462	Loss_std:0.0191398842147848
Iteration:25900	Loss_mean:0.007302529833978042	Loss_std:0.003963836868395108
Iteration:3700	Loss_mean:0.0226629549136851	Loss_std:0.01884359057477799
Iteration:26000	Loss_mean:0.007044929236872122	Loss_std:0.004175608361565094
Iteration:3800	Loss_mean:0.021360719673102723	Loss_std:0.01758304299775334
Iteration:26100	Loss_mean:0.006956937640206888	Loss_std:0.0032336400497077564
Iteration:3900	Loss_mean:0.02129474176908843	Loss_std:0.02099824008590064
Iteration:26200	Loss_mean:0.007117697473149747	Loss_std:0.004080001584697914
Iteration:4000	Loss_mean:0.02342855049413629	Loss_std:0.02023284978061009
Iteration:26300	Loss_mean:0.0069414807367138565	Loss_std:0.004190798171518659
Iteration:4100	Loss_mean:0.021037966744042933	Loss_std:0.016843463484128254
Iteration:26400	Loss_mean:0.007442796766990795	Loss_std:0.0033971066948686145
Iteration:4200	Loss_mean:0.02393109305528924	Loss_std:0.02333783597878005
Iteration:26500	Loss_mean:0.006615878662560135	Loss_std:0.0035499992099564033
Iteration:4300	Loss_mean:0.021884738523513077	Loss_std:0.01729768252210252
Iteration:26600	Loss_mean:0.00685793102835305	Loss_std:0.003592417159680095
Iteration:4400	Loss_mean:0.020780590151553043	Loss_std:0.01714122928643064
Iteration:26700	Loss_mean:0.006644075984368101	Loss_std:0.004066002671583877
Iteration:4500	Loss_mean:0.02054726397502236	Loss_std:0.01703089441397114
Iteration:4600	Loss_mean:0.01774465879308991	Loss_std:0.013176099029724954
Iteration:26800	Loss_mean:0.006789640220813453	Loss_std:0.00445853237581897
Iteration:4700	Loss_mean:0.019860426519298927	Loss_std:0.017297376214522004
Iteration:26900	Loss_mean:0.006942239532945677	Loss_std:0.0038569080820731374
Iteration:4800	Loss_mean:0.018547048655455	Loss_std:0.017591808961244956
Iteration:27000	Loss_mean:0.006482231637346558	Loss_std:0.004155947361639236
Iteration:4900	Loss_mean:0.017682271202793344	Loss_std:0.015106966734528984
Iteration:27100	Loss_mean:0.006834338484914042	Loss_std:0.004284990695611902
Iteration:5000	Loss_mean:0.016819893828360365	Loss_std:0.014788918538000672
Iteration:27200	Loss_mean:0.006616335597354919	Loss_std:0.0038257828969863296
Iteration:5100	Loss_mean:0.017860004447866232	Loss_std:0.018662025879312413
Iteration:27300	Loss_mean:0.007424371219240129	Loss_std:0.0036547789058002803
Iteration:5200	Loss_mean:0.016583671031985433	Loss_std:0.01767329574363278
Iteration:27400	Loss_mean:0.006988902620505542	Loss_std:0.004259389684742122
Iteration:5300	Loss_mean:0.01546582936483901	Loss_std:0.014720230909646363
Iteration:27500	Loss_mean:0.006488074696389959	Loss_std:0.004129833883528112
Iteration:5400	Loss_mean:0.014297055740607903	Loss_std:0.014479649957332112
Iteration:27600	Loss_mean:0.006774702391121537	Loss_std:0.0036664817632004617
Iteration:5500	Loss_mean:0.01718516148859635	Loss_std:0.018152433902181915
Iteration:27700	Loss_mean:0.006838105317438021	Loss_std:0.0034317459568405234
Iteration:5600	Loss_mean:0.014939232152537443	Loss_std:0.0119838879038302
Iteration:27800	Loss_mean:0.006451447535073385	Loss_std:0.0038457129417738363
Iteration:5700	Loss_mean:0.014355887350975536	Loss_std:0.012312505222478667
Iteration:27900	Loss_mean:0.006763173406943679	Loss_std:0.0033382889460152544
Iteration:5800	Loss_mean:0.01618235399189871	Loss_std:0.015847239342472903
Iteration:28000	Loss_mean:0.0075334503006888555	Loss_std:0.004364126127376155
Iteration:5900	Loss_mean:0.017905249611940236	Loss_std:0.01578420595554956
Iteration:28100	Loss_mean:0.007292305497685447	Loss_std:0.0037730925887280945
Iteration:6000	Loss_mean:0.016624995233723894	Loss_std:0.015551043527600736
Iteration:28200	Loss_mean:0.0071452386828605085	Loss_std:0.003915751006538955
Iteration:6100	Loss_mean:0.011448774329619483	Loss_std:0.009032525471897587
Iteration:28300	Loss_mean:0.006997364703565836	Loss_std:0.0036282027627098355
Iteration:6200	Loss_mean:0.014320694011403248	Loss_std:0.013965969907346597
Iteration:28400	Loss_mean:0.007055206489749253	Loss_std:0.0037843408921336137
Iteration:6300	Loss_mean:0.013320185149786994	Loss_std:0.011333580373173639
Iteration:28500	Loss_mean:0.00670834222342819	Loss_std:0.0038958302474225983
Iteration:6400	Loss_mean:0.012822022211039438	Loss_std:0.010621615663629692
Iteration:28600	Loss_mean:0.006094319693511352	Loss_std:0.003385419837553634
Iteration:6500	Loss_mean:0.014126794436015189	Loss_std:0.011480794811532758
Iteration:28700	Loss_mean:0.006896471854997799	Loss_std:0.0035786614019082275
Iteration:6600	Loss_mean:0.014749880641466007	Loss_std:0.013584994187383882
Iteration:28800	Loss_mean:0.00694001748226583	Loss_std:0.003503509613309603
Iteration:6700	Loss_mean:0.013223387554171495	Loss_std:0.012327775739834113
Iteration:28900	Loss_mean:0.006441179687390104	Loss_std:0.004102255845309118
Iteration:6800	Loss_mean:0.01360967161192093	Loss_std:0.012236669572613742
Iteration:29000	Loss_mean:0.007023580480599776	Loss_std:0.0036506341444086953
Iteration:6900	Loss_mean:0.012138229222036898	Loss_std:0.010311867495157528
Iteration:29100	Loss_mean:0.00603419158840552	Loss_std:0.0032494017692806113
Iteration:7000	Loss_mean:0.013359541097306646	Loss_std:0.012303687635780993
Iteration:29200	Loss_mean:0.006780074458802119	Loss_std:0.0039689345144558585
Iteration:7100	Loss_mean:0.011926893501076848	Loss_std:0.010865453606362402
Iteration:29300	Loss_mean:0.006655966544058174	Loss_std:0.0038562792980105635
Iteration:7200	Loss_mean:0.014327725675539114	Loss_std:0.012697641096161309
Iteration:29400	Loss_mean:0.006327172083547339	Loss_std:0.003419192561798345
Iteration:7300	Loss_mean:0.011490367857040837	Loss_std:0.00965517332164603
Iteration:29500	Loss_mean:0.007626556670293212	Loss_std:0.003948834336555436
Iteration:7400	Loss_mean:0.012938582206843421	Loss_std:0.011155073243190115
Iteration:29600	Loss_mean:0.0068994687148369845	Loss_std:0.0034749080680387128
Iteration:7500	Loss_mean:0.013322489255515393	Loss_std:0.01364602076054322
Iteration:29700	Loss_mean:0.006303244130685925	Loss_std:0.0032689956775237236
Iteration:7600	Loss_mean:0.010870037737186066	Loss_std:0.01048499359026547
Iteration:29800	Loss_mean:0.006167700813384727	Loss_std:0.003332172492829598
Iteration:7700	Loss_mean:0.0122855378780514	Loss_std:0.011189652516484934
Iteration:29900	Loss_mean:0.007012166844215244	Loss_std:0.0028755503435329106
Iteration:7800	Loss_mean:0.01223636353155598	Loss_std:0.00992024596318792
Iteration:30000	Loss_mean:0.006224510208703578	Loss_std:0.0033688117474269196
Iteration:7900	Loss_mean:0.012301306349108927	Loss_std:0.011388451642014122
Iteration:30100	Loss_mean:0.0060861571866553275	Loss_std:0.0032679723974197382
Iteration:8000	Loss_mean:0.011318385945633053	Loss_std:0.008232690559708608
Iteration:30200	Loss_mean:0.006745950341573916	Loss_std:0.0036431696202315965
Iteration:8100	Loss_mean:0.01076664901804179	Loss_std:0.009380283079972905
Iteration:30300	Loss_mean:0.006617804332636297	Loss_std:0.003832782064498005
Iteration:8200	Loss_mean:0.01256336160178762	Loss_std:0.011143432376142442
Iteration:30400	Loss_mean:0.0072902136994525794	Loss_std:0.004293219112928852
Iteration:8300	Loss_mean:0.011642736931098624	Loss_std:0.011677564299911122
Iteration:30500	Loss_mean:0.00665619223145768	Loss_std:0.0035563684131032355
Iteration:8400	Loss_mean:0.010919924803893082	Loss_std:0.009727768547489253
Iteration:30600	Loss_mean:0.006477598234196194	Loss_std:0.0037008899776080142
Iteration:8500	Loss_mean:0.011156496059847996	Loss_std:0.009809592513798789
Iteration:8600	Loss_mean:0.009468679797719233	Loss_std:0.00805780308790532
Iteration:30700	Loss_mean:0.007504939935170114	Loss_std:0.003956694557684932
Iteration:8700	Loss_mean:0.011012215468217618	Loss_std:0.009443064028205453
Iteration:30800	Loss_mean:0.006475287120556459	Loss_std:0.003580859242056163
Iteration:8800	Loss_mean:0.012006259477930143	Loss_std:0.010932069600186733
Iteration:30900	Loss_mean:0.006893484856700525	Loss_std:0.0044969473007908335
Iteration:8900	Loss_mean:0.011521688407519833	Loss_std:0.009986437188793147
Iteration:31000	Loss_mean:0.006917333902092651	Loss_std:0.0035981506411356793
Iteration:9000	Loss_mean:0.009472257457091474	Loss_std:0.008940462505935831
Iteration:31100	Loss_mean:0.007162911109626293	Loss_std:0.004118762405343419
Iteration:9100	Loss_mean:0.012486221161088907	Loss_std:0.01184827742994803
Iteration:31200	Loss_mean:0.007155296803684905	Loss_std:0.003522062454286703
Iteration:9200	Loss_mean:0.010766746879089623	Loss_std:0.009099162820718763
Iteration:31300	Loss_mean:0.006658363232854753	Loss_std:0.003615720144710698
Iteration:9300	Loss_mean:0.011499049453996123	Loss_std:0.009424968230409248
Iteration:31400	Loss_mean:0.007372922686627135	Loss_std:0.003463875149516619
Iteration:9400	Loss_mean:0.013354855350917206	Loss_std:0.012041965439881138
Iteration:31500	Loss_mean:0.0071488535345997665	Loss_std:0.004977768314429971
Iteration:9500	Loss_mean:0.010705774553352967	Loss_std:0.009377630468419296
Iteration:31600	Loss_mean:0.006363196432357654	Loss_std:0.0034832949318271073
Iteration:9600	Loss_mean:0.010352859742124566	Loss_std:0.009429886361119065
Iteration:31700	Loss_mean:0.006792885095346719	Loss_std:0.003334396013539081
Iteration:9700	Loss_mean:0.009211357231833972	Loss_std:0.009966924573027416
Iteration:31800	Loss_mean:0.007160787825123407	Loss_std:0.004728653278189563
Iteration:9800	Loss_mean:0.01001797801698558	Loss_std:0.008303837891554158
Iteration:31900	Loss_mean:0.007055837197694928	Loss_std:0.0038117130570268225
Iteration:9900	Loss_mean:0.011803930019959807	Loss_std:0.011483552904825563
Iteration:32000	Loss_mean:0.007148393617244437	Loss_std:0.004172319609917581
Iteration:10000	Loss_mean:0.010997288985527121	Loss_std:0.011109864509427924
Iteration:32100	Loss_mean:0.007317447741515934	Loss_std:0.00461160408510977
Iteration:10100	Loss_mean:0.009420630207750946	Loss_std:0.008842356427672601
Iteration:32200	Loss_mean:0.0067444065562449395	Loss_std:0.0037368356651367595
Iteration:10200	Loss_mean:0.008372384361573495	Loss_std:0.007496310530113558
Iteration:32300	Loss_mean:0.006793849398382008	Loss_std:0.0036673068293568557
Iteration:10300	Loss_mean:0.011151101485011168	Loss_std:0.010207880189708534
Iteration:32400	Loss_mean:0.006573922152165323	Loss_std:0.003110221420865105
Iteration:10400	Loss_mean:0.009825645053060725	Loss_std:0.010133059645444305
Iteration:32500	Loss_mean:0.0066895763471256945	Loss_std:0.003701240523111949
Iteration:10500	Loss_mean:0.009166581722092814	Loss_std:0.008127952329435483
Iteration:32600	Loss_mean:0.007273952700197697	Loss_std:0.004018050172271653
Iteration:10600	Loss_mean:0.009104862217791379	Loss_std:0.007619332036027073
Iteration:32700	Loss_mean:0.006726385260699317	Loss_std:0.003456755709826996
Iteration:10700	Loss_mean:0.009643212196533569	Loss_std:0.00869025204154029
Iteration:32800	Loss_mean:0.0061383859626948836	Loss_std:0.0030381136737211434
Iteration:10800	Loss_mean:0.010907103604986333	Loss_std:0.011231049532677444
Iteration:32900	Loss_mean:0.00673237944720313	Loss_std:0.0033687124899718828
Iteration:10900	Loss_mean:0.010166887335362845	Loss_std:0.00893179400276397
Iteration:33000	Loss_mean:0.006873935281764716	Loss_std:0.004037621131308377
Iteration:11000	Loss_mean:0.009965838081552648	Loss_std:0.009401934372978659
Iteration:33100	Loss_mean:0.0073167064000153915	Loss_std:0.0040433860390736934
Iteration:11100	Loss_mean:0.009567087067407555	Loss_std:0.009266105369846699
Iteration:33200	Loss_mean:0.00653962608135771	Loss_std:0.0036337989557224328
Iteration:11200	Loss_mean:0.008913683486753143	Loss_std:0.00807627467001772
Iteration:33300	Loss_mean:0.006366191959241405	Loss_std:0.003353362782029752
Iteration:11300	Loss_mean:0.009672486335621216	Loss_std:0.007938700677636986
Iteration:33400	Loss_mean:0.00707218716503121	Loss_std:0.0039425444202247336
Iteration:11400	Loss_mean:0.00942629849887453	Loss_std:0.00855278101517889
Iteration:33500	Loss_mean:0.007525351399090141	Loss_std:0.004382709107953951
Iteration:11500	Loss_mean:0.009652854506566656	Loss_std:0.008682433171550001
Iteration:33600	Loss_mean:0.006941832181764767	Loss_std:0.0036870052769691643
Iteration:11600	Loss_mean:0.00939435010892339	Loss_std:0.008283315290903192
Iteration:33700	Loss_mean:0.007542408141307533	Loss_std:0.0034642023840629485
Iteration:11700	Loss_mean:0.008731555416015908	Loss_std:0.00846436353540295
Iteration:33800	Loss_mean:0.006675021422561258	Loss_std:0.003811848935122462
Iteration:11800	Loss_mean:0.010211810158798471	Loss_std:0.009082741170445004
Iteration:33900	Loss_mean:0.006318636348005384	Loss_std:0.0033426110669239214
Iteration:11900	Loss_mean:0.0096733698080061	Loss_std:0.01082019537739776
Iteration:34000	Loss_mean:0.006971317397546955	Loss_std:0.003581997712689125
Iteration:12000	Loss_mean:0.009924357084091753	Loss_std:0.008926963559679233
Iteration:34100	Loss_mean:0.006879536129999906	Loss_std:0.0038782828955591653
Iteration:12100	Loss_mean:0.00891385238559451	Loss_std:0.008084123051449822
Iteration:34200	Loss_mean:0.007345594895305112	Loss_std:0.0035449755186177244
Iteration:12200	Loss_mean:0.009286509994999505	Loss_std:0.009410087674159856
Iteration:34300	Loss_mean:0.0071569479460595175	Loss_std:0.00404856178506515
Iteration:12300	Loss_mean:0.009658471312723122	Loss_std:0.008785259713305833
Iteration:12400	Loss_mean:0.007716659940197133	Loss_std:0.006391698794301543
Iteration:34400	Loss_mean:0.0065188474161550405	Loss_std:0.0035897898128076423
Iteration:12500	Loss_mean:0.008746009859023615	Loss_std:0.009361378598994457
Iteration:34500	Loss_mean:0.007179799324367195	Loss_std:0.004325949833453254
Iteration:12600	Loss_mean:0.008871300232131034	Loss_std:0.007984311529443358
Iteration:34600	Loss_mean:0.007025996535085142	Loss_std:0.003978716123230428
Iteration:12700	Loss_mean:0.00928878230479313	Loss_std:0.008464371699789683
Iteration:34700	Loss_mean:0.0065596671588718895	Loss_std:0.0037563094652591756
Iteration:12800	Loss_mean:0.008417662444408051	Loss_std:0.0072581650380689235
Iteration:34800	Loss_mean:0.0069228054670384155	Loss_std:0.004367038998297126
Iteration:12900	Loss_mean:0.008358836560801138	Loss_std:0.00771707560201922
Iteration:34900	Loss_mean:0.007218247940763831	Loss_std:0.0040837036349832025
Iteration:13000	Loss_mean:0.009689998941030353	Loss_std:0.00835769724587693
Iteration:35000	Loss_mean:0.006903842695173808	Loss_std:0.003398624916846329
Iteration:13100	Loss_mean:0.010061373873031697	Loss_std:0.008010774833734757
Iteration:35100	Loss_mean:0.006492628775304183	Loss_std:0.0042471146884751135
Iteration:13200	Loss_mean:0.008179106123861857	Loss_std:0.00636396808584245
Iteration:35200	Loss_mean:0.006899669753620401	Loss_std:0.003976832364376644
Iteration:13300	Loss_mean:0.008191443218966015	Loss_std:0.008909166622067036
Iteration:35300	Loss_mean:0.006459324752213434	Loss_std:0.0032993209097909155
Iteration:13400	Loss_mean:0.008498192748520523	Loss_std:0.007869045141092748
Iteration:35400	Loss_mean:0.0077180522540584206	Loss_std:0.0044975543388631
Iteration:13500	Loss_mean:0.008379382054554298	Loss_std:0.006775416471607541
Iteration:35500	Loss_mean:0.006550449513597414	Loss_std:0.0038701418982703727
Iteration:13600	Loss_mean:0.008218811823171563	Loss_std:0.008070806001149185
Iteration:35600	Loss_mean:0.006716399935539812	Loss_std:0.0033372030655354377
Iteration:13700	Loss_mean:0.008950811657123268	Loss_std:0.008169489910122025
Iteration:35700	Loss_mean:0.006173704006941989	Loss_std:0.0033289619227380137
Iteration:13800	Loss_mean:0.008984074211330153	Loss_std:0.008374864890132585
Iteration:35800	Loss_mean:0.006037762879859656	Loss_std:0.0034079816054658606
Iteration:13900	Loss_mean:0.00760395894641988	Loss_std:0.007721389039895235
Iteration:35900	Loss_mean:0.006736882104305551	Loss_std:0.003734991000272607
Iteration:14000	Loss_mean:0.007925656392471865	Loss_std:0.008474727013856655
Iteration:36000	Loss_mean:0.0067658172245137396	Loss_std:0.0037416689648019402
Iteration:14100	Loss_mean:0.0074378186592366545	Loss_std:0.006758391387899673
Iteration:36100	Loss_mean:0.007230663518421352	Loss_std:0.004109787582802371
Iteration:14200	Loss_mean:0.010110308746807278	Loss_std:0.008291489038665042
Iteration:36200	Loss_mean:0.006587367069441825	Loss_std:0.003406039695651715
Iteration:14300	Loss_mean:0.007620496860472486	Loss_std:0.007047280156181343
Iteration:36300	Loss_mean:0.006510449597844854	Loss_std:0.004253814618429953
Iteration:14400	Loss_mean:0.00769022099848371	Loss_std:0.007188179453941075
Iteration:36400	Loss_mean:0.006587674278416671	Loss_std:0.003384619519101396
Iteration:14500	Loss_mean:0.008280740195768885	Loss_std:0.008231332223557592
Iteration:36500	Loss_mean:0.006671038249041885	Loss_std:0.004162393226024231
Iteration:14600	Loss_mean:0.009428537625062745	Loss_std:0.010295105805958412
Iteration:36600	Loss_mean:0.006766045544063673	Loss_std:0.003155856909207608
Iteration:14700	Loss_mean:0.007608181674731896	Loss_std:0.0071076445122352705
Iteration:36700	Loss_mean:0.006372963362373411	Loss_std:0.003157007833804399
Iteration:14800	Loss_mean:0.007834519122261553	Loss_std:0.007179229767003861
Iteration:36800	Loss_mean:0.006433005036087707	Loss_std:0.0036957131159699726
Iteration:14900	Loss_mean:0.007505967104807496	Loss_std:0.0068153198015831855
Iteration:36900	Loss_mean:0.006682939494494349	Loss_std:0.0035267352108005164
Iteration:15000	Loss_mean:0.007949136346578598	Loss_std:0.007112856313132585
Iteration:37000	Loss_mean:0.006867783285561018	Loss_std:0.0036669357215321084
Iteration:15100	Loss_mean:0.00883708814624697	Loss_std:0.008429653936769815
Iteration:37100	Loss_mean:0.00723859780584462	Loss_std:0.00439715227047055
Iteration:15200	Loss_mean:0.008271457339578774	Loss_std:0.008815604372107098
Iteration:37200	Loss_mean:0.006853601338807493	Loss_std:0.0033317626024553446
Iteration:15300	Loss_mean:0.008380550138535909	Loss_std:0.008748918815598876
Iteration:37300	Loss_mean:0.006294157854281366	Loss_std:0.003032662533975843
Iteration:15400	Loss_mean:0.009057578109204769	Loss_std:0.010805304921700294
Iteration:37400	Loss_mean:0.0065621827857103195	Loss_std:0.0035895553699287516
Iteration:15500	Loss_mean:0.007550205908482894	Loss_std:0.006737959158033236
Iteration:37500	Loss_mean:0.0066871714254375545	Loss_std:0.004438055834082745
Iteration:15600	Loss_mean:0.0077533984067849815	Loss_std:0.008822803576655108
Iteration:37600	Loss_mean:0.006538889200892299	Loss_std:0.0035316877572031577
Iteration:15700	Loss_mean:0.007256682760780678	Loss_std:0.0070531856219686285
Iteration:37700	Loss_mean:0.006285285539925098	Loss_std:0.003539713655345964
Iteration:15800	Loss_mean:0.007517473977641203	Loss_std:0.007835406304935759
